Name,Province,Transcription,Native,PopulationCensus1981-06-22,PopulationCensus1991-06-22,PopulationCensus2001-05-28,PopulationCensus2011-06-22,PopulationCensus2021-11-25,normalized_population_2021
Achham,Sudurpaschim,Achāma,अछाम जिल्ला,185212,198188,231285,257477,228852,0.1096275951
Arghakhanchi,Lumbini,Arghākhā̃cī,अर्घाखाँची जिल्ला,157304,180884,208391,197632,177086,0.08420136459
Baglung,Gandaki,Bāgaluṅa,बागलुङ जिल्ला,215228,232486,268937,268613,249211,0.1196274526
Baitadi,Sudurpaschim,Baitaḍī,बैतडी जिल्ला,179136,200716,234418,250898,242157,0.1161626953
Bajhang,Sudurpaschim,Bajhāṅa,बझाङ जिल्ला,124010,139092,167026,195159,189085,0.09009498858
Bajura,Sudurpaschim,Bājurā,बाजुरा जिल्ला,74649,92010,108781,134912,138523,0.06526013432
Banke,Lumbini,Bā̃kē,बाँके जिल्ला,205323,285604,385840,491313,603194,0.2934955001
Bara,Madhesh,Bārā,बारा जिल्ला,318957,415718,559135,687708,763137,0.3720557053
Bardiya,Lumbini,Bardiyā,बर्दिया जिल्ला,199044,290313,382649,426576,459900,0.2231128885
Bhaktapur,Bagmati,Bhaktapura,भक्तपुर जिल्ला,159767,172952,225461,304651,432132,0.209473906
Bhojpur,Koshi,Bhōjapura,भोजपुर जिल्ला,192689,198784,203018,182459,157923,0.07478895384
Chitawan,Bagmati,Citavana,चितवन जिल्ला,259571,354488,472048,579984,719859,0.3507985789
Dadeldhura,Sudurpaschim,Ḍaḍēladhurā,डडेलधुरा जिल्ला,86853,104647,126162,142094,139602,0.06579011351
Dailekh,Karnali,Dailēkha,दैलेख जिल्ला,166527,187400,225201,261770,252313,0.1211510814
Dang,Lumbini,Dāṅa,दाङ जिल्ला,266393,354413,462380,552583,674993,0.3287614647
Darchula,Sudurpaschim,Dārculā,दार्चुला जिल्ला,90218,101683,121996,133274,133310,0.06269963245
Dhading,Bagmati,Dhādiṅa,धादिङ जिल्ला,243401,278068,338658,336067,325710,0.1572019456
Dhankuta,Koshi,Dhanakuṭā,धनकुटा जिल्ला,129781,146386,166479,163412,150599,0.07119157888
Dhanusha,Madhesh,Dhanuṣā,धनुषा जिल्ला,432569,543672,671364,754777,867747,0.4234376543
Dolakha,Bagmati,Dōlakhā,दोलखा जिल्ला,150576,173236,204229,186557,172767,0.0820799743
Dolpa,Karnali,Ḍōlpā,डोल्पा जिल्ला,22043,25013,29545,36700,42774,0.01823049821
Doti,Sudurpaschim,Ḍōṭī,डोटी जिल्ला,153135,167168,207066,211746,204831,0.09782905003
Gorkha,Gandaki,Gōrakhā,गोरखा जिल्ला,231294,252524,288134,271061,251027,0.1205194287
Gulmi,Lumbini,Gulmī,गुल्मी जिल्ला,238113,266331,296654,280160,246494,0.1182929267
Humla,Karnali,Humlā,हुम्ला जिल्ला,20303,34383,40595,50858,55394,0.02442914267
Ilam,Koshi,Ilāma,इलाम जिल्ला,178356,229214,282806,290254,279534,0.1345213905
Jajarkot,Karnali,Jājarakōṭa,जाजरकोट जिल्ला,99312,113958,134868,171304,189360,0.09023006205
Jhapa,Koshi,Jhāpā,झापा जिल्ला,479743,593737,688109,812650,998054,0.4874413597
Jumla,Karnali,Jumlā,जुम्ला जिल्ला,68797,75964,89427,108921,118349,0.05535114437
Kabhrepalanchok,Bagmati,Kābhrēpalāñcōka,काभ्रेपलाञ्चोक जिल्ला,307150,324329,385672,381937,364039,0.1760282407
Kailali,Sudurpaschim,Kailālī,कैलाली जिल्ला,257905,417891,616697,775709,904666,0.4415713908
Kalikot,Karnali,Kālikōṭa,कालिकोट जिल्ला,87638,88805,105580,136948,145292,0.06858490645
Kanchanpur,Sudurpaschim,Kañcanapura,कञ्‍चनपुर जिल्ला,168971,257906,377899,451248,513757,0.2495661686
Kapilbastu,Lumbini,Kapilavastu,कपिलवस्तु जिल्ला,270045,371778,481976,571936,682961,0.3326751571
Kaski,Gandaki,Kāskī,कास्की जिल्ला,221272,292945,380527,492098,600051,0.2919517331
Kathmandu,Bagmati,Kāṭhamāḍaũ,काठमाडौँ जिल्ला,422237,675341,1081845,1744240,2041587,1
Khotang,Koshi,Khōṭāṅa,खोटाङ जिल्ला,212571,215965,231385,206312,175298,0.08332314143
Lalitpur,Bagmati,Lalitapura,ललितपुर जिल्ला,184341,257086,337785,468132,551667,0.2681866607
Lamjung,Gandaki,Lamajuṅa,लमजुङ जिल्ला,152720,153697,177149,167724,155852,0.0737717278
Mahottari,Madhesh,Mahōttarī,महोत्तरी जिल्ला,361054,440146,553481,627580,706994,0.3444795963
Makawanpur,Bagmati,Makavānapura,मकवानपुर जिल्ला,243411,314599,392604,420477,466073,0.2261449196
Manang,Gandaki,Manāṅa,मनाङ जिल्ला,7021,5363,9587,6538,5658,0
Morang,Koshi,Mōraṅa,मोरङ जिल्ला,534692,674823,843220,965370,1148156,0.5611678993
Mugu,Karnali,Mugu,मुगु जिल्ला,43705,36364,43937,55286,64549,0.02892586136
Mustang,Gandaki,Mustāṅa,मुस्ताङ जिल्ला,12930,14292,14981,13452,14452,0.004319404066
Myagdi,Gandaki,Myāgdī,म्याग्दी जिल्ला,96904,100552,114447,113641,107033,0.04979299376
