DM,number
"Achham",1
"Arghakhanchi",1
"Baglung",3
"Baitadi",4
"Bajhang",0
"Bajura",0
"Banke",4
"Bara",4
"Bardiya",1
"Bhaktapur",4
"Bhojpur",2
"Chitawan",1
"Dadeldhura",3
"Dailekh",2
"Dang",5
"Darchula",5
"Dhading",5
"Dhankuta",1
"Dhanusha",2
"Dolakha",4
"Dolpa",3
"Doti",3
"Gorkha",4
"Gulmi",0
"Humla",4
"Ilam",1
"Jajarkot",0
"Jhapa",5
"Jumla",2
"Kabhrepalanchok",3
"Kailali",1
"Kalikot",1
"Kanchanpur",5
"Kapilbastu",0
"Kaski",3
"Kathmandu",1
"Khotang",2
"Lalitpur",0
"Lamjung",1
"Mahottari",2
"Makawanpur",4
"Manang",5
"Morang",3
"Mugu",4
"Mustang",4
"Myagdi",2
"Nawalparasi East",5
"Nawalparasi West",5
"Nuwakot",4
"Okhaldhunga",0
"Palpa",0
"Panchthar",0
"Parbat",4
"Parsa",3
"Pyuthan",2
"Ramechhap",2
"Rasuwa",5
"Rautahat",0
"Rolpa",3
"Rukum East",2
"Rukum West",2
"Rupandehi",0
"Salyan",0
"Sankhuwasabha",4
"Saptari",2
"Sarlahi",2
"Sindhuli",5
"Sindhupalchok",1
"Siraha",5
"Solukhumbu",3
"Sunsari",5
"Surkhet",4
"Syangja",5
"Tanahu",5
"Taplejung",5
"Terhathum",0
"Udayapur",5
